phone_number,state,area_code
209-209-0532,CA,209
209-325-2642,CA,209
209-385-5635,CA,209
209-655-1968,CA,209
209-989-1998,CA,209
213-289-2724,CA,213
213-408-3069,CA,213
213-793-3413,CA,213
213-940-0620,CA,213
213-978-9290,CA,213
279-219-0910,CA,279
279-356-5128,CA,279
279-506-9654,CA,279
279-550-5212,CA,279
279-556-5031,CA,279
279-726-6940,CA,279
279-967-7417,CA,279
310-355-6253,CA,310
310-512-4500,CA,310
310-544-3446,CA,310
310-704-7364,CA,310
310-750-4243,CA,310
310-807-1527,CA,310
310-893-7448,CA,310
323-255-6094,CA,323
323-439-2625,CA,323
323-497-1463,CA,323
323-504-4899,CA,323
323-600-4600,CA,323
323-619-5677,CA,323
323-865-8224,CA,323
323-938-9746,CA,323
323-946-3446,CA,323
323-980-7773,CA,323
408-245-3787,CA,408
408-402-5385,CA,408
408-490-6443,CA,408
408-554-4576,CA,408
408-723-6417,CA,408
408-901-4772,CA,408
408-956-6736,CA,408
415-342-2050,CA,415
415-916-5079,CA,415
415-950-8643,CA,415
415-988-3760,CA,415
424-238-6578,CA,424
424-306-7568,CA,424
424-804-8967,CA,424
442-247-5628,CA,442
442-326-4373,CA,442
442-523-8110,CA,442
442-557-6427,CA,442
442-616-6593,CA,442
442-799-8303,CA,442
442-933-8471,CA,442
442-996-6649,CA,442
442-999-1323,CA,442
510-405-1527,CA,510
510-568-0157,CA,510
510-685-7755,CA,510
510-697-6178,CA,510
510-723-0751,CA,510
510-766-7192,CA,510
510-776-6325,CA,510
510-781-3398,CA,510
510-790-3398,CA,510
510-839-3747,CA,510
510-898-7571,CA,510
530-238-2485,CA,530
530-365-4327,CA,530
530-471-2817,CA,530
530-651-4189,CA,530
530-699-3598,CA,530
530-796-2245,CA,530
530-842-8000,CA,530
559-316-8169,CA,559
559-335-0711,CA,559
559-351-9970,CA,559
559-457-6819,CA,559
559-463-1301,CA,559
559-573-5168,CA,559
562-336-0967,CA,562
562-472-8435,CA,562
562-493-2826,CA,562
562-587-8951,CA,562
562-652-1132,CA,562
562-706-0964,CA,562
562-808-6326,CA,562
562-832-9383,CA,562
562-879-0364,CA,562
619-222-5641,CA,619
619-279-9346,CA,619
619-588-5345,CA,619
619-606-9400,CA,619
619-628-9831,CA,619
619-706-7092,CA,619
619-787-8881,CA,619
619-884-8662,CA,619
626-233-1763,CA,626
626-270-0924,CA,626
626-281-4990,CA,626
626-301-4436,CA,626
626-301-9255,CA,626
626-433-4245,CA,626
626-437-6779,CA,626
626-668-5265,CA,626
626-695-5556,CA,626
626-843-7066,CA,626
626-883-0046,CA,626
628-257-9264,CA,628
628-440-9425,CA,628
628-470-5773,CA,628
628-499-1226,CA,628
628-720-0008,CA,628
628-914-1270,CA,628
628-968-6339,CA,628
650-308-3211,CA,650
650-321-4727,CA,650
650-404-3630,CA,650
650-468-5277,CA,650
650-578-6224,CA,650
650-579-6206,CA,650
650-747-0808,CA,650
650-747-9880,CA,650
650-841-0196,CA,650
650-963-6518,CA,650
657-267-0123,CA,657
657-462-9264,CA,657
657-547-5049,CA,657
657-563-3614,CA,657
657-678-7400,CA,657
657-864-5390,CA,657
661-281-5293,CA,661
661-484-6498,CA,661
661-621-8263,CA,661
661-683-6133,CA,661
661-688-6213,CA,661
661-873-6234,CA,661
669-233-5572,CA,669
669-308-2539,CA,669
669-494-3087,CA,669
669-522-3666,CA,669
669-637-8852,CA,669
707-492-5610,CA,707
707-576-1817,CA,707
707-683-8849,CA,707
714-360-0031,CA,714
714-427-5241,CA,714
714-498-7163,CA,714
714-681-9474,CA,714
714-849-2820,CA,714
714-859-3147,CA,714
714-896-5374,CA,714
714-937-9657,CA,714
714-954-3986,CA,714
760-208-9927,CA,760
760-222-0156,CA,760
760-306-6574,CA,760
760-399-2871,CA,760
760-480-9102,CA,760
760-674-0883,CA,760
760-746-9585,CA,760
760-817-2115,CA,760
805-300-0089,CA,805
805-321-4891,CA,805
805-335-7395,CA,805
805-916-2048,CA,805
818-262-3783,CA,818
818-274-7696,CA,818
818-772-1700,CA,818
818-871-5067,CA,818
831-239-9987,CA,831
831-264-8956,CA,831
831-299-9439,CA,831
831-458-0389,CA,831
831-467-3712,CA,831
831-621-7588,CA,831
831-640-8726,CA,831
858-320-1785,CA,858
858-391-2635,CA,858
858-487-1661,CA,858
858-579-2163,CA,858
858-716-5173,CA,858
858-827-6195,CA,858
909-349-3351,CA,909
909-361-2125,CA,909
909-419-9194,CA,909
909-460-8346,CA,909
909-508-3488,CA,909
909-623-9732,CA,909
916-426-6512,CA,916
916-427-3363,CA,916
916-462-7885,CA,916
916-532-6518,CA,916
916-538-2437,CA,916
916-843-8736,CA,916
916-960-9611,CA,916
925-469-9637,CA,925
925-484-0932,CA,925
925-733-7032,CA,925
925-742-4127,CA,925
925-838-8497,CA,925
925-869-8370,CA,925
925-952-7981,CA,925
949-208-2965,CA,949
949-258-1023,CA,949
949-358-5748,CA,949
949-479-5077,CA,949
949-627-9002,CA,949
949-861-1918,CA,949
951-272-9301,CA,951
951-281-0087,CA,951
951-637-7554,CA,951
